Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
5_blocks_sausage_3x3_kao.txt,0,48,21,0,m0: Pure Factoring,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.450114878869546,0.000402,30,
6_blocks_sausage_3x3_kao.txt,0,58,22,4,m4: Cancela-Petingi (Nesterov),OK,0.450114878869546,0.369949,1429,
6_blocks_sausage_3x3_kao.txt,0,58,22,3,m3: Block + Conv + Modified Facto,OK,0.450114878869538,4.510000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,22,2,m2: Block + Conv + Simple Facto,OK,0.450114878871858,1.661000,758200,
6_blocks_sausage_3x3_kao.txt,0,58,22,1,m1: Block + Pure Facto,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,22,0,m0: Pure Factoring,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.769864225173205,3.151208,210812,
6_blocks_sausage_3x3_kao.txt,0,58,23,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,3,m3: Block + Conv + Modified Facto,OK,0.769864225173192,5.609000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,23,2,m2: Block + Conv + Simple Facto,OK,0.769864225178824,3.043000,1842810,
6_blocks_sausage_3x3_kao.txt,0,58,23,1,m1: Block + Pure Facto,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,23,0,m0: Pure Factoring,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.904302273156404,9.287238,197187,
6_blocks_sausage_3x3_kao.txt,0,58,24,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,3,m3: Block + Conv + Modified Facto,OK,0.904302273156389,8.609000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,24,2,m2: Block + Conv + Simple Facto,OK,0.904302273164503,6.037000,3058682,
6_blocks_sausage_3x3_kao.txt,0,58,24,1,m1: Block + Pure Facto,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,24,0,m0: Pure Factoring,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,25,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.940298293689224,3.512383,148956,
6_blocks_sausage_3x3_kao.txt,0,58,25,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,25,3,m3: Block + Conv + Modified Facto,OK,0.940298293689209,11.397000,191748,
6_blocks_sausage_3x3_kao.txt,0,58,25,2,m2: Block + Conv + Simple Facto,OK,0.940298293698523,12.841000,4286166,
6_blocks_sausage_3x3_kao.txt,0,58,25,1,m1: Block + Pure Facto,TIMEOUT,,,0,
6_blocks_sausage_3x3_kao.txt,0,58,25,0,m0: Pure Factoring,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,6,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.632414790000000,0.000272,7,
Geant2004_kao.txt,11,95,6,4,m4: Cancela-Petingi (Nesterov),OK,0.632414790000000,0.000050,3,
Geant2004_kao.txt,11,95,6,3,m3: Block + Conv + Modified Facto,OK,0.632414789999997,0.008000,3045,
Geant2004_kao.txt,11,95,6,2,m2: Block + Conv + Simple Facto,OK,0.632414790007725,51.525000,14682400,
Geant2004_kao.txt,11,95,6,1,m1: Block + Pure Facto,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,6,0,m0: Pure Factoring,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,7,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.699064984718100,0.000651,62,
Geant2004_kao.txt,11,95,7,4,m4: Cancela-Petingi (Nesterov),OK,0.699064984718100,0.000626,14,
Geant2004_kao.txt,11,95,7,3,m3: Block + Conv + Modified Facto,OK,0.699064984718097,0.016000,3371,
Geant2004_kao.txt,11,95,7,2,m2: Block + Conv + Simple Facto,OK,0.699064984731161,72.780000,36934258,
Geant2004_kao.txt,11,95,7,1,m1: Block + Pure Facto,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,7,0,m0: Pure Factoring,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,8,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.765180873969210,0.008582,377,
Geant2004_kao.txt,11,95,8,4,m4: Cancela-Petingi (Nesterov),OK,0.765180873969210,0.000717,42,
Geant2004_kao.txt,11,95,8,3,m3: Block + Conv + Modified Facto,OK,0.765180873969207,0.083000,5083,
Geant2004_kao.txt,11,95,8,2,m2: Block + Conv + Simple Facto,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,8,1,m1: Block + Pure Facto,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,8,0,m0: Pure Factoring,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,9,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.776652881984733,0.003306,275,
Geant2004_kao.txt,11,95,9,4,m4: Cancela-Petingi (Nesterov),OK,0.776652881984733,0.001446,77,
Geant2004_kao.txt,11,95,9,3,m3: Block + Conv + Modified Facto,OK,0.776652881984730,1.135000,34308,
Geant2004_kao.txt,11,95,9,2,m2: Block + Conv + Simple Facto,TIMEOUT,,,0,
Geant2004_kao.txt,11,95,9,1,m1: Block + Pure Facto,TIMEOUT,,,0,
