Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,Error
5_blocks_sausage_3x3_kao.txt,0,48,20,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,20,3,m3: Block + Conv + Modified Facto,OK,0.914528148192698,8.817000,161664,8,5.556000,11.803000,
5_blocks_sausage_3x3_kao.txt,0,48,20,2,m2: Block + Conv + Simple Facto,OK,0.914528148198885,9.782500,2332819,8,6.471000,13.509000,
5_blocks_sausage_3x3_kao.txt,0,48,20,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,20,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,21,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.946761009183546,7.151918,113356,8,5.069982,8.698477,
5_blocks_sausage_3x3_kao.txt,0,48,21,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,21,3,m3: Block + Conv + Modified Facto,OK,0.946761009183531,10.329000,161664,8,6.406000,16.340000,
5_blocks_sausage_3x3_kao.txt,0,48,21,2,m2: Block + Conv + Simple Facto,OK,0.946761009190585,16.126500,3271144,8,11.306000,25.252000,
5_blocks_sausage_3x3_kao.txt,0,48,21,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
5_blocks_sausage_3x3_kao.txt,0,48,21,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,22,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.450114878869546,0.000507,30,8,0.000442,0.003097,
6_blocks_sausage_3x3_kao.txt,0,58,22,4,m4: Cancela-Petingi (Nesterov),OK,0.450114878869546,1.232077,1429,8,0.610083,1.744797,
6_blocks_sausage_3x3_kao.txt,0,58,22,3,m3: Block + Conv + Modified Facto,OK,0.450114878869538,15.189500,191748,8,8.115000,22.106000,
6_blocks_sausage_3x3_kao.txt,0,58,22,2,m2: Block + Conv + Simple Facto,OK,0.450114878871858,4.144500,758200,8,2.430000,6.269000,
6_blocks_sausage_3x3_kao.txt,0,58,22,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,22,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,23,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.769864225173205,9.309883,210812,8,5.108737,12.968145,
6_blocks_sausage_3x3_kao.txt,0,58,23,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,23,3,m3: Block + Conv + Modified Facto,OK,0.769864225173192,16.326000,191748,8,13.254000,24.885000,
6_blocks_sausage_3x3_kao.txt,0,58,23,2,m2: Block + Conv + Simple Facto,OK,0.769864225178824,9.883000,1842810,8,7.818000,15.849000,
