Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,Error
K4_kao.txt,0,1,2,3,M-Decomposition (Level 3),OK,0.996390000000001,0.000239,127,
K4_kao.txt,0,1,2,4,Cancela-Petingi (Level 4),OK,0.996390000000000,0.000037,3,
K4_kao.txt,0,1,2,5,M-Decomp + CPFM (Level 5),OK,0.996390000000000,0.000039,3,
K4_kao.txt,0,1,3,0,Standard Factoring (Level 0),OK,0.997848000000001,0.000244,127,
K4_kao.txt,0,1,3,1,Recursive Decomposition (Level 1),OK,0.997848000000001,0.000250,127,
K4_kao.txt,0,1,3,2,Simple Factoring (Level 2),OK,0.997848000000001,0.000218,127,
K4_kao.txt,0,1,3,3,M-Decomposition (Level 3),OK,0.997848000000001,0.000249,127,
K4_kao.txt,0,1,3,4,Cancela-Petingi (Level 4),OK,0.997848000000000,0.000127,13,
K4_kao.txt,0,1,3,5,M-Decomp + CPFM (Level 5),OK,0.997848000000000,0.000112,13,
K4_kao.txt,0,1,4,0,Standard Factoring (Level 0),OK,0.997848000000001,0.000253,127,
K4_kao.txt,0,1,4,1,Recursive Decomposition (Level 1),OK,0.997848000000001,0.000218,127,
K4_kao.txt,0,1,4,2,Simple Factoring (Level 2),OK,0.997848000000001,0.000212,127,
K4_kao.txt,0,1,4,3,M-Decomposition (Level 3),OK,0.997848000000001,0.000240,127,
K4_kao.txt,0,1,4,4,Cancela-Petingi (Level 4),OK,0.997848000000000,0.000137,13,
K4_kao.txt,0,1,4,5,M-Decomp + CPFM (Level 5),OK,0.997848000000000,0.002273,13,
Geant2004_kao.txt,11,95,4,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000020,1,
Geant2004_kao.txt,11,95,4,1,Recursive Decomposition (Level 1),OK,0.000000000000000,0.048000,16092,
Geant2004_kao.txt,11,95,4,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
Geant2004_kao.txt,11,95,4,3,M-Decomposition (Level 3),OK,0.000000000000000,0.039000,2692,
Geant2004_kao.txt,11,95,4,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000007,0,
Geant2004_kao.txt,11,95,4,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000215,0,
Geant2004_kao.txt,11,95,5,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000015,1,
Geant2004_kao.txt,11,95,5,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
Geant2004_kao.txt,11,95,5,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
Geant2004_kao.txt,11,95,5,3,M-Decomposition (Level 3),OK,0.000000000000000,0.035000,3147,
Geant2004_kao.txt,11,95,5,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000008,0,
Geant2004_kao.txt,11,95,5,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000205,0,
Geant2004_kao.txt,11,95,6,0,Standard Factoring (Level 0),TIMEOUT,,,0,
Geant2004_kao.txt,11,95,6,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
Geant2004_kao.txt,11,95,6,2,Simple Factoring (Level 2),OK,0.632414790007725,38.000000,14682400,
Geant2004_kao.txt,11,95,6,3,M-Decomposition (Level 3),OK,0.632414789999997,0.010000,3045,
Geant2004_kao.txt,11,95,6,4,Cancela-Petingi (Level 4),OK,0.632414790000000,0.000057,3,
Geant2004_kao.txt,11,95,6,5,M-Decomp + CPFM (Level 5),OK,0.632414790000000,0.000294,7,
IEEE-118-node_kao.txt,86,111,4,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000015,1,
IEEE-118-node_kao.txt,86,111,4,1,Recursive Decomposition (Level 1),OK,0.000000000000000,0.000000,48,
IEEE-118-node_kao.txt,86,111,4,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
IEEE-118-node_kao.txt,86,111,4,3,M-Decomposition (Level 3),OK,0.000000000000000,0.014000,4114,
IEEE-118-node_kao.txt,86,111,4,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000003,0,
IEEE-118-node_kao.txt,86,111,4,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000002,0,
IEEE-118-node_kao.txt,86,111,6,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000010,1,
IEEE-118-node_kao.txt,86,111,6,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
IEEE-118-node_kao.txt,86,111,6,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
IEEE-118-node_kao.txt,86,111,6,3,M-Decomposition (Level 3),OK,0.000000000000000,0.030000,6021,
IEEE-118-node_kao.txt,86,111,6,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000008,0,
IEEE-118-node_kao.txt,86,111,6,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000003,0,
IEEE-118-node_kao.txt,86,111,8,0,Standard Factoring (Level 0),OK,0.000000000000000,0.000017,1,
IEEE-118-node_kao.txt,86,111,8,1,Recursive Decomposition (Level 1),TIMEOUT,,,0,
IEEE-118-node_kao.txt,86,111,8,2,Simple Factoring (Level 2),OK,0.000000000000000,0.000000,0,
IEEE-118-node_kao.txt,86,111,8,3,M-Decomposition (Level 3),OK,0.000000000000000,7.724000,249480,
IEEE-118-node_kao.txt,86,111,8,4,Cancela-Petingi (Level 4),OK,0.000000000000000,0.000009,0,
IEEE-118-node_kao.txt,86,111,8,5,M-Decomp + CPFM (Level 5),OK,0.000000000000000,0.000007,0,
