Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,TimeoutBudgetSec,Error
5_blocks_sausage_3x3_kao.txt,0,48,21,2,m2: Block + Conv + Simple Facto,OK,0.946761009190585,16.126500,3271144,8,11.306000,25.252000,1800,
5_blocks_sausage_3x3_kao.txt,0,48,21,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
5_blocks_sausage_3x3_kao.txt,0,48,21,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,22,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.450114878869546,0.000507,30,8,0.000442,0.003097,1800,
6_blocks_sausage_3x3_kao.txt,0,58,22,4,m4: Cancela-Petingi (Nesterov),OK,0.450114878869546,1.232077,1429,8,0.610083,1.744797,1800,
6_blocks_sausage_3x3_kao.txt,0,58,22,3,m3: Block + Conv + Modified Facto,OK,0.450114878869538,15.189500,191748,8,8.115000,22.106000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,22,2,m2: Block + Conv + Simple Facto,OK,0.450114878871858,4.144500,758200,8,2.430000,6.269000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,22,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,22,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,23,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.769864225173205,9.309883,210812,8,5.108737,12.968145,1800,
6_blocks_sausage_3x3_kao.txt,0,58,23,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_3x3_kao.txt,0,58,23,3,m3: Block + Conv + Modified Facto,OK,0.769864225173192,16.326000,191748,8,13.254000,24.885000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,23,2,m2: Block + Conv + Simple Facto,OK,0.769864225178824,9.883000,1842810,8,7.818000,15.849000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,23,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,23,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,24,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.904302273156404,13.897121,197187,8,10.637146,20.078809,1800,
6_blocks_sausage_3x3_kao.txt,0,58,24,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_3x3_kao.txt,0,58,24,3,m3: Block + Conv + Modified Facto,OK,0.904302273156389,2.362500,191748,8,2.159000,2.409000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,24,2,m2: Block + Conv + Simple Facto,OK,0.904302273164503,2.684500,3058682,8,2.538000,2.795000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,24,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,24,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
